paper_id,title,year,subfield,source,source_url,arxiv_id_or_doi,why_selected,difficulty_level,has_blog_or_explainer,notes
nlp-01,Attention Is All You Need,2017,nlp,arXiv,https://arxiv.org/abs/1706.03762,1706.03762,Foundational Transformer with clear method and translation evidence,medium,yes,Useful for architecture and metric explanations
nlp-02,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2018,nlp,arXiv,https://arxiv.org/abs/1810.04805,1810.04805,Representative pretraining and transfer paper,medium,yes,Clear ablations and downstream tasks
nlp-03,Language Models are Few-Shot Learners,2020,nlp,arXiv,https://arxiv.org/abs/2005.14165,2005.14165,Influential scaling and in-context learning paper,hard,yes,Important limitations and bias discussion
nlp-04,Training language models to follow instructions with human feedback,2022,nlp,arXiv,https://arxiv.org/abs/2203.02155,2203.02155,Representative RLHF pipeline and human evaluation,hard,yes,Good feasibility and alignment case
nlp-05,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,nlp,arXiv,https://arxiv.org/abs/2005.11401,2005.11401,Combines retrieval and generation with interpretable motivation,hard,yes,Directly relevant to KB systems
nlp-06,LoRA: Low-Rank Adaptation of Large Language Models,2021,nlp,arXiv,https://arxiv.org/abs/2106.09685,2106.09685,Clear efficiency method and comparisons,medium,yes,Useful feasibility example
nlp-07,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,nlp,arXiv,https://arxiv.org/abs/2201.11903,2201.11903,Representative prompting method with bounded claims,medium,yes,Good for evidence caveats
nlp-08,Constitutional AI: Harmlessness from AI Feedback,2022,nlp,arXiv,https://arxiv.org/abs/2212.08073,2212.08073,Representative AI-feedback alignment method,hard,yes,Rich risk and feasibility discussion
cv-01,ImageNet Classification with Deep Convolutional Neural Networks,2012,cv,NeurIPS,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks,10.1145/3065386,Landmark deep vision result,medium,yes,Resource and dataset context matter
cv-02,Deep Residual Learning for Image Recognition,2015,cv,arXiv,https://arxiv.org/abs/1512.03385,1512.03385,Clear residual method and ablations,medium,yes,Strong simplification target
cv-03,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2020,cv,arXiv,https://arxiv.org/abs/2010.11929,2010.11929,Representative vision Transformer,medium,yes,Highlights data-scale conditions
cv-04,You Only Look Once: Unified Real-Time Object Detection,2015,cv,arXiv,https://arxiv.org/abs/1506.02640,1506.02640,Clear speed-accuracy tradeoff,medium,yes,Good feasibility case
cv-05,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,cv,arXiv,https://arxiv.org/abs/1505.04597,1505.04597,Influential segmentation architecture,medium,yes,Clear data augmentation context
cv-06,Mask R-CNN,2017,cv,arXiv,https://arxiv.org/abs/1703.06870,1703.06870,Representative instance segmentation system,hard,yes,Multi-component method
